ligand,receptor,source
LOC101265881,LOC101263242,orthologs
LOC101265819,LOC101263242,orthologs
LOC101265819,LOC101263242,orthologs
LOC101264183,LOC101263242,orthologs
LOC101264183,LOC101263242,orthologs
LOC101262133,LOC101263242,orthologs
LOC101262133,LOC101263242,orthologs
LOC101262050,LOC101263242,orthologs
LOC101262050,LOC101263242,orthologs
LOC101260714,LOC101263242,orthologs
LOC101260714,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256677,LOC101263242,orthologs
LOC101256039,LOC101263242,orthologs
LOC101256039,LOC101263242,orthologs
LOC101252775,LOC101263242,orthologs
LOC101252775,LOC101263242,orthologs
LOC101252428,LOC101263242,orthologs
LOC101252428,LOC101263242,orthologs
LOC101250243,LOC101263242,orthologs
LOC101250243,LOC101263242,orthologs
LOC101250057,LOC101263242,orthologs
LOC101250057,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248858,LOC101263242,orthologs
LOC101248854,LOC101263242,orthologs
LOC101248854,LOC101263242,orthologs
LOC101247318,LOC101263242,orthologs
LOC101247318,LOC101263242,orthologs
LOC101245699,LOC101263242,orthologs
LOC101245699,LOC101263242,orthologs
Hsp90-1,LOC101263242,orthologs
Hsp90-1,LOC101263242,orthologs
HSC80,LOC101263242,orthologs
HSC80,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
GPA1,LOC101263242,orthologs
LOC101260664,LOC101263187,orthologs
LOC101249056,LOC101263187,orthologs
LOC101247352,LOC101263187,orthologs
LOC101251815,LOC101263163,orthologs
LOC101264237,LOC101263126,orthologs
sph1,LOC101263086,orthologs
sph1,LOC101263086,orthologs
LOC104647673,LOC101263086,orthologs
LOC104647673,LOC101263086,orthologs
LOC104647673,LOC101263086,orthologs
LOC101254076,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
LOC101253724,LOC101263086,orthologs
Cel8,LOC101263086,orthologs
LOC543895,LOC101263024,orthologs
LOC101246396,LOC101263024,orthologs
LOC101246396,LOC101263024,orthologs
alpha-DOX2,LOC101263024,orthologs
LOC101260664,LOC101262834,orthologs
LOC101249056,LOC101262834,orthologs
LOC101247352,LOC101262834,orthologs
LOC112940027,LOC101262795,orthologs
LOC109121376,LOC101262795,orthologs
LOC101266570,LOC101262795,orthologs
LOC101265918,LOC101262795,orthologs
LOC101265918,LOC101262795,orthologs
LOC101256971,LOC101262795,orthologs
LOC101253788,LOC101262795,orthologs
LOC101268282,LOC101262780,orthologs
LOC101267502,LOC101262780,orthologs
LOC101265881,LOC101262780,orthologs
LOC101265819,LOC101262780,orthologs
LOC101264183,LOC101262780,orthologs
LOC101262133,LOC101262780,orthologs
LOC101262050,LOC101262780,orthologs
LOC101260714,LOC101262780,orthologs
LOC101256677,LOC101262780,orthologs
LOC101256677,LOC101262780,orthologs
LOC101256039,LOC101262780,orthologs
LOC101252775,LOC101262780,orthologs
LOC101252428,LOC101262780,orthologs
LOC101250243,LOC101262780,orthologs
LOC101250057,LOC101262780,orthologs
LOC101248858,LOC101262780,orthologs
LOC101248858,LOC101262780,orthologs
LOC101248858,LOC101262780,orthologs
LOC101248858,LOC101262780,orthologs
LOC101248854,LOC101262780,orthologs
LOC101247318,LOC101262780,orthologs
LOC101245699,LOC101262780,orthologs
Hsp90-1,LOC101262780,orthologs
HSC80,LOC101262780,orthologs
GPA1,LOC101262780,orthologs
GPA1,LOC101262780,orthologs
LOC101268282,LOC101262650,orthologs
LOC101268282,LOC101262650,orthologs
LOC101267502,LOC101262650,orthologs
LOC101267502,LOC101262650,orthologs
LOC101265881,LOC101262650,orthologs
LOC101265881,LOC101262650,orthologs
LOC101265819,LOC101262650,orthologs
LOC101265819,LOC101262650,orthologs
LOC101264183,LOC101262650,orthologs
LOC101264183,LOC101262650,orthologs
LOC101262133,LOC101262650,orthologs
LOC101262133,LOC101262650,orthologs
LOC101262050,LOC101262650,orthologs
LOC101262050,LOC101262650,orthologs
LOC101260714,LOC101262650,orthologs
