Ligands,Receptors,source_combined
AT3G13784,AT1G11820,STRING
AT3G13784,AT1G66250,STRING
AT3G13784,AT2G01630,STRING
AT3G13784,AT3G13560,STRING
AT3G13784,AT4G31140,STRING
AT3G13784,AT5G58090,STRING
AT3G13790,AT1G11820,STRING
AT3G13790,AT1G66250,STRING
AT3G13790,AT2G01630,STRING
AT3G13790,AT3G13560,STRING
AT3G13790,AT4G31140,STRING
AT3G13790,AT4G34460,BIOGRID
AT3G13790,AT5G58090,STRING
AT3G14210,AT3G26090,BIOGRID
AT3G14220,AT2G01950,"IntAct,BIOGRID"
AT3G14310,AT3G54920,STRING
AT3G15720,AT3G54920,STRING
AT3G16370,AT1G55260,STRING
AT3G16370,AT2G01950,"STRING,IntAct,BIOGRID"
AT3G16370,AT3G43720,STRING
AT3G16570,AT1G30570,STRING
AT3G16570,AT3G46290,STRING
AT3G16570,AT3G51550,"STRING,literature"
AT3G16920,AT5G03170,STRING
AT3G16920,AT5G15630,STRING
AT3G16920,AT5G60490,STRING
AT3G17790,AT1G64060,STRING
AT3G18080,AT1G11820,STRING
AT3G18080,AT1G66250,STRING
AT3G18080,AT2G01630,STRING
AT3G18080,AT3G13560,STRING
AT3G18080,AT4G31140,STRING
AT3G18080,AT5G58090,STRING
AT3G19020,AT2G38940,interactome2.0
AT3G21960,AT1G47670,STRING
AT3G21960,AT1G80830,STRING
AT3G22800,AT2G04780,STRING
AT3G22820,AT1G80080,STRING
AT3G22820,AT2G26330,literature
AT3G22820,AT5G07180,STRING
AT3G22820,AT5G62230,STRING
AT3G23730,AT2G13680,interactome2.0
AT3G23805,AT1G55330,STRING
AT3G23805,AT2G46330,STRING
AT3G23805,AT3G13520,STRING
AT3G23805,AT3G25717,STRING
AT3G23805,AT3G61640,STRING
AT3G23805,AT4G13395,STRING
AT3G23805,AT5G40730,STRING
AT3G24225,AT1G65380,STRING
AT3G24225,AT1G75820,STRING
AT3G24225,AT3G49670,literature
AT3G24225,AT5G13290,STRING
AT3G24225,AT5G65700,"STRING,literature"
AT3G24480,AT2G14890,STRING
